lengua y traducctor,id_título,título,anio primer edición,editorial1b 1,editorial1b 2,editorial1b 3,editorial1b 4,editorial1b 5,editorial1b 6,editorial2b,ciudad_ed,país_ed,lengua o idioma,género,género2
Traducción al sueco de: Jan Sjögren.,214228,Gryning över avgrunden,1956,Arbetarkultur,,,,,,,Estocolmo,Suecia,Sueco,Narrativa,Novela
Traducción al inglés de: Martín Camps.,214276,Rainbows at Seven Eleven,2016,Universidad Autónoma de Zacatecas,Ediciones y Gráficos Eón,,,,,Narrativa,D.F.,México,Inglés,Narrativa,Novela
,214290,A rainha do cine Roma,2010,LeYa,,,,,,,X,Brasil,Portugués,Narrativa,Novela
Traducción al portugués de: Amir Cadôr.,214299,A nova arte de fazer livros,2011,C,Arte,,,,,,Belo Horizonte,Brasil,Portugués,Crítica y estudios sobre géneros varios,
Traducción al francés de: Jean-Claude Masson.,214301,Lueurs de l'Inde,1997,Gallimard,,,,,,Arcades,París,Francia,Francés,Ensayo,
Traducción al francés de: Jean-Claude Masson.,214302,L'autre voix. Poésie et fin du siècle,1992,Gallimard,,,,,,Arcades,París,Francia,Francés,Crítica y estudios sobre géneros varios,
Traducción al francés de: Jean-Clarence Lambert.,214304,Liberté sur parole,1990,Gallimard,,,,,,Du monde entier,París,Francia,Francés,Poesía,
Traducción al francés de: Jean-Claude Masson.,214305,L'Arbre parle,1990,Gallimard,,,,,,Du monde entier,París,Francia,Francés,Poesía,
Traducción al francés de: Jean-Clarence Lambert.,214306,Le labyrinthe de la solitude suivi de Critique de la pyramide,1990,Gallimard,,,,,,Essais,París,Francia,Francés,Ensayo,
Traducción al francés de: Roger Caillois.,214309,Mise au net,1977,Gallimard,,,,,,Du monde entier,París,Francia,Francés,Poesía,
Traducción al francés de: Claude Esteban.,214312,Le feu de chaque jour,1986,Gallimard,,,,,,Du monde entier,París,Francia,Francés,Poesía,
Traducción al francés de: Jean-Claude Masson.,214314,Une planète et quatre ou cinq mondes. Réflexions sur l'histoire contemporaine,1985,Gallimard,,,,,,Folio essais,París,Francia,Francés,Ensayo,
Traducción al francés de: Jean-Claude Masson.,214316,Le signe et le grimoire. Essais sur l'art mexicain,1995,Gallimard,,,,,,Art et artistes,París,Francia,Francés,Ensayo,
Traducción al francés de: André Pieyre de Mandiargues.,214321,La fille de Rappaccini,1972,Gallimard,,,,,,Théâtre,París,Francia,Francés,Dramaturgia,
Traducción al francés de: Yesé Amory.,214322,Figures et figurations,2000,Gallimard,,,,,,,París,Francia,Francés,Poesía,
,214391,Origène: nouvelle mexicaine,1901,L. Vanier,,,,,,,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Aleksandar Grujicic.,214397,Oasis dans le Pacifique,2009,T. Magnier,,,,,,,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: David Ferré.,214398,Hitler dans le cœur,2013,Éditions Le Miroir qui fume,,,,,,Théâtre Contemporain,X,Francia,Francés,Dramaturgia,
Traducción al francés de: David Ferré.,214402,New York versus el zapotito,2013,Éditions Le Miroir qui fume,,,,,,Théâtre Contemporain,X,Francia,Francés,Dramaturgia,
Traducción al francés de: Philippe Eustachon.,214410,Moi aussi je veux un prophète,2006,Éditions Le Miroir qui fume,,,,,,Théâtre Contemporain,X,Francia,Francés,Dramaturgia,
Traducción al francés de: Jacques Aubergy.,214411,"Je paie pas le loyer, je fais la grève!",2008,,,,,,,,Marsella,Francia,Francés,Narrativa,
,214413,68,2008,,,,,,,,Montreuil,Francia,Francés,Obras biográficas,"Biografías, autobiografías y memorias"
Traducción al francés de: Claude Bleton.,214415,Pancho Villa: roman d'une vie,2009,Payot et Rivages,,,,,,,París,Francia,Francés,Obras biográficas,"Biografías, autobiografías y memorias"
,214416,Andrómaca Real. Électre se réveille,2011,Éditions Le Miroir qui fume,,,,,,Théâtre Contemporain,X,Francia,Francés,Dramaturgia,
Traducción al francés de: René Solís Brun.,214417,D'amour et de fantômes,2005,Payot et Rivages,,,,,,,París,Francia,Francés,Narrativa,Cuento
Traducción al francés de: René Solis.,214477,Le rendez-vous des héros,1996,Payot et Rivages,,,,,,Bibliothèque étrangère,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: René Solis.,214480,Ombre de l'ombre,1992,Payot et Rivages,,,,,,Rivages/Noir,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Juan Marey.,214484,La vie même,1992,Payot et Rivages,,,,,,Rivages/Noir,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: René Solis.,214485,Cosa facil,1994,Payot et Rivages,,,,,,Rivages/Noir,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: René Solis.,214487,Quelques nuages,1994,Payot et Rivages,,,,,,Rivages/Noir,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: René Solis.,214488,À quatre mains,1995,Payot et Rivages,,,,,,Rivages/Noir,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Marianne Millon.,214491,Pas de fin heureuse,1997,Payot et Rivages,,,,,,Rivages/Noir,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Marianne Millon.,214492,Même ville sous la pluie,1998,Payot et Rivages,,,,,,Rivages/Noir,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Anne Masè.,214493,La bicyclette de Léonard,1998,Payot et Rivages,,,,,,Rivages/Noir,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Marianne Millon.,214494,Jours de combat,2000,Payot et Rivages,,,,,,Rivages/Noir,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: René Solis.,214495,Rêves de frontière,2002,Payot et Rivages,,,,,,Rivages/Noir,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: René Solis.,214496,Le trésor fantôme,2003,Payot et Rivages,,,,,,Rivages/Noir,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: René Solis.,214497,Nous revenons comme des ombres,2004,Payot et Rivages,,,,,,Rivages/Noir,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: René Solis.,214498,Adiós Madrid,2005,Payot et Rivages,,,,,,Rivages/Noir,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: René Solis.,214499,Des morts qui dérangent,2008,Payot et Rivages,,,,,,Rivages/Noir,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: René Solis.,214500,Défunts disparus,2010,Payot et Rivages,,,,,,Rivages/Noir,París,Francia,Francés,Narrativa,Novela
,214501,"Ernesto Guevara, connu aussi comme le Che. Tome I",2001,Payot et Rivages,,,,,,Petite Bibliothèque Payot,París,Francia,Francés,Obras biográficas,"Biografías, autobiografías y memorias"
,214502,"Ernesto Guevara, connu aussi comme le Che. Tome II",2001,Payot et Rivages,,,,,,Petite Bibliothèque Payot,París,Francia,Francés,Obras biográficas,"Biografías, autobiografías y memorias"
Traducción al francés de: Gabriel Iaculli.,214503,Les lèvres de l'eau,1999,Éditions du Rocher,,,,,,Motifs,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Gabriel Iaculli.,214504,La peau de la terre,2010,Éditions du Rocher,,,,,,Motifs,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Gabriel Iaculli.,214505,Les visages de l'air,2010,Éditions du Rocher,,,,,,Motifs,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Gabriel Iaculli. Traducción al francés de: Gabriel Iaculli.,214506,Neuf fois neuf choses que l'on dit de Mogador,2006,Allusifs,,,,,,Les allusifs LI,Montreal,Canadá,Francés,Narrativa,Novela
Traducción al Otomí de: Petra Benítez.,214507,La palabra azul = Hña k’angi ngu ra m’etsi,2011,Consejo Editorial de la Administración Pública Estatal,Secretaría de Educación del Estado de México,Biblioteca Mexiquense del Bicentenario,,,,Lecturas de Cabecera,Toluca,México,otomí,Poesía,
Traducción al portugués de: Joana Angélica d'Avila Melo.,214547,Um doce aroma de morte,2008,Gryphus,,,,,,,Río de Janeiro,Brasil,Portugués,Narrativa,Novela
,214551,O esquadrão guilhotina,2008,Gryphus,,,,,,,Río de Janeiro,Brasil,Portugués,Narrativa,Novela
Traducción al portugués de: Isa Laxe.,214557,Retorno 201,2010,Gryphus,,,,,,,Río de Janeiro,Brasil,Portugués,Narrativa,Cuento
Traducción al francés de: Christilla Vasserot.,214584,"Bêtes, chiennes et autres créatures",2005,Éditions Le Miroir qui fume,,,,,,Théâtre Contemporain,X,Francia,Francés,Dramaturgia,
Traducción al portugués de: J.R. Penteado.,214587,A pior senhora do mundo,2016,SESI-SP,,,,,,Quem lê Sabe Por quê,São Paulo,Brasil,Portugués,Narrativa,Cuento
Traducción al francés de: David Ferré.,214590,Essai sur les gens fragiles,2014,Éditions Le Miroir qui fume,,,,,,Théâtre Contemporain,París,Francia,Francés,Dramaturgia,
Traducción al portugués de: J.R. Penteado.,214593,Folha de papel,2016,SESI-SP,,,,,,Quem lê Sabe Por quê,São Paulo,Brasil,Portugués,Narrativa,Cuento
,214598,Anatomie de la gastrite,2013,Éditions Le Miroir qui fume,,,,,,Théâtre Contemporain,X,Francia,Francés,Dramaturgia,
,214601,Face à quelques sphynx,2010,Éditions Le Miroir qui fume,,,,,,Théâtre mexican du XXe siècle,X,Francia,Francés,Dramaturgia,
Traducción al francés de: Gabriel Iaculli.,214605,Comment la mélancolie est arrivée à Mogador,1999,Éditions du Rocher,,,,,,Nouvelle,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Cédric Demangeot.,214606,Les démons de la langue,1999,Fata Morgana,,,,,,Archipels,Saint-Clément-de-Rivière,Francia,Francés,Narrativa,Cuento
Traducción al francés de: Gabriel Iaculli.,214608,L'atelier du temps,2004,Plon,,,,,,,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Gabriel Iaculli.,214610,Nocturne de Boukhara: nouvelles,2007,Les Allusifs,,,,,,Roman à rabat,Montreal,Canadá,Francés,Narrativa,Cuento
Traducción al francés de: Gabriel Iaculli.,214612,Le temps des cendres,2009,Points,,,,,,,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Gabriel Iaculli.,214614,Le jardin dévasté,2009,Seuil,,,,,,Cadre vert,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Gabriel Iaculli.,214616,La fin de la folie,2010,Points,,,,,,,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Gabriel Iaculli.,214617,À la recherche de Klingsor,2008,Points,,,,,,,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Gabriel Iaculli.,214619,Les bandits : opéra bouffe en trois actes,2016,Points,,,,,,,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: André Gabastou.,214621,Jacob le mutant suivi de Chiens héros,2006,Passage du Nord-Ouest,,,,,,Passage du Nord,Albi,Francia,Francés,Narrativa,Novela
Traducción al inglés de: Enrique R. Lamadrid. Traducción al inglés de: E. A. Mares.,214628,"En breve: minimalism in Mexican poetry, 1900-1985",1988,Tooth of Time Books,,,,,,,Santa Fe,EUA,Inglés,Poesía,
Traducción al portugués de: Ines Achcar.,214647,Se virando sozinho,2016,SESI-SP,,,,,,Quem lê Sabe Por quê,São Paulo,Brasil,Portugués,Narrativa,Cuento
Traducción al portugués de: Fernando Paz.,214656,O homem que foi um mapa,2016,SESI-SP,,,,,,Quem lê Sabe Por quê,São Paulo,Brasil,Portugués,Narrativa,Cuento
,214660,Amphitryon,2006,Companhia das letras,,,,,,,São Paulo,Brasil,Portugués,Narrativa,Novela
,214665,Espiral de artilharia,2007,Companhia das letras,,,,,,,São Paulo,Brasil,Portugués,Narrativa,Novela
,214675,Os corruptores,2014,Planeta,,,,,,,São Paulo,Brasil,Portugués,Narrativa,Novela
,214697,El tiempo no abortó = Tonali amo tlanki,2008,Instituto Mexiquense de Cultura,Biblioteca Mexiquense del Bicentenario,,,,,,Toluca,México,náhuatl,Narrativa,Novela
Epílogo de: Michi Strausfeld. Traducción al alemán de: Thomas Brovot. Traducción al alemán de: Susanne Lange.,214706,Das geordnete Leben,2003,Matthes &amp; Seitz Berlin,,,,,,,Berlín,Alemania,Alemán,Narrativa,Cuento
Traducción al portugués de: Léa Viveiros de Castro.,214723,Reze pelas mulheres roubadas,0,Rocco,,,,,,,Río de Janeiro,Brasil,Portugués,Narrativa,Novela
Traducción al francés de : Jacques Aubergy.,214731,Les maçons,2010,Éditions Le Miroir qui fume,,,,,,Théâtre mexican du XXe siècle,X,Francia,Francés,Dramaturgia,
,214734,Deconstructing myths : parody and irony in Mexican literature,2002,University Press of the South,,,,,,,California,EUA,Inglés,Crítica y estudios sobre géneros varios,
Introducción de: Rodolfo Obregón. Traducción al francés de: Michèle Sigal.,214736,Le cavalier de la divine providence,2010,Éditions Le Miroir qui fume,,,,,,Théâtre mexican du XXe siècle,X,Francia,Francés,Dramaturgia,
Traducción al francés de: Boris Schoemann. Traducción al francés de: Manuel Ulloa Colonia.,214738,Trois pièces de LEGOM: Je detéste les putains de mexicains. Portrait d'elle endormie. Les filles du trois et demi,2015,Éditions Le Miroir qui fume,,,,,,Théâtre Contemporain,X,Francia,Francés,Dramaturgia,
Traducción al francés de : Nelly Lhermillier.,214764,Un scorpion en février,2006,Christian Bourgois,,,,,,Littérature étrangère,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Nelly Lhermillier.,214765,L'Autre Visage De Rock Hudson,2006,Christian Bourgois,,,,,,Littérature étrangère,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Nelly Lhermillier.,214766,Hotel DF,2012,Christian Bourgois,,,,,,Littérature étrangère,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Nelly Lhermillier.,214767,Boue,2009,Christian Bourgois,,,,,,Littérature étrangère,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Nelly Lhermillier.,214768,Eduquer les taupes,2008,Christian Bourgois,,,,,,Littérature étrangère,París,Francia,Francés,Narrativa,Novela
Traducción al turco de: Hakan Özkan.,214769,Rock Hudson'un Öteki Yüzü,2013,Özgür,,,,,,,,,Turco,Narrativa,Novela
Traducción al inglés de: Alice Whitmore.,214770,See You at Breakfast?,2016,Giramondo Publishing,,,,,,,X,Australia,Inglés,Narrativa,Novela
Traducción al francés de : Marianne Millon.,214771,Jours de colère,2001,Mille et Une Nuits,,,,,,,París,Francia,Francés,Narrativa,Novela
Traducción al portugués de: Felipe Lindoso.,214846,"Livros demais! : Sobre ler, escrever e publicar",2004,Summus,,,,,,,São Paulo,Brasil,Portugués,Ensayo,
Traducción al portugués de: Felipe Lindoso.,214846,"Livros demais! : Sobre ler, escrever e publicar",2004,Summus,,,,,,,São Paulo,Brasil,Portugués,Ensayo,
Traducción al portugués de: Horácio Costa.,214885,Morte sem fim,2003,EDUSP,,,,,,,São Paulo,Brasil,Portugués,Poesía,
Traducción al portugués de: Lia Zatz.,214891,Frida Kahlo,2015,Callis Niños,,,,,,,São Paulo,Brasil,Portugués,Narrativa,Cuento
,214930,O Sonho de Inocêncio,2008,Dom Quixote,,,,,,,Lisboa,Portugal,Portugués,Narrativa,Novela
,214967,El espejo-the mirror: selected Mexican-American literature,1969,Quinto Sol Publications,,,,,,,X,EUA,Inglés,Crítica y estudios sobre géneros varios,
,214969,O dinheiro do diabo,2012,Benvirá,,,,,,,São Paulo,Brasil,Portugués,Narrativa,Novela
,214970,A brief anthology of Mexican prose,1928,Stanford University Press,,,,,,,California,EUA,Inglés,Títulos de géneros varios,
Traducción al holandés de: Antoinette Eva Verwey.,215015,Lieve Diego,1985,Contact,,,,,,,Ámsterdam,Países Bajos,Holandés,Narrativa,Novela
Traducción al holandés de: Dorotea ter Horst.,215016,Leonora,2012,Orlando,,,,,,,Utrecht,Países Bajos,Holandés,Narrativa,Novela
Traducción al holandés de: Kathleen Rutten.,215020,Tinisima,1998,De Geus,,,,,,,Breda,Países Bajos,Holandés,Narrativa,Novela
Traducción al inglés de: Helen Lane.,215022,The other voice : Poetry and the Fin-de-siecle,1992,Carcanet,,,,,,,Manchester,Reino Unido,Inglés,Poesía,
Prólogo de: Octavio Paz. Traducción al inglés de: Alan S. Trueblood.,215024,A Sor Juana anthology,1988,Harvard University,,,,,,,Cambridge,EUA,Inglés,Poesía,
Traducción al inglés de: Samuel Beckett. Prefacio de: Sir Cecil Maurice Bowra. Compilación de: Octavio Paz.,215025,Mexican poetry: an anthology,1985,Grove Press,,,,,,,Nueva York,EUA,Inglés,Poesía,
Traducción al holandés de: Ton Ceelen.,215026,De dubbele vlam : over liefde en erotiek,1996,Meulenhoff,,,,,,Meulenhoff editie,Ámsterdam,Países Bajos,Holandés,Obras biográficas,
Traducción al holandés de: Stefaan van den Bremt. Compilación de: Laurens Vancrevel .,215027,Verhaal van twee tuinen : gedichten 1935-1996,1999,Meulenhoff,,,,,,,Ámsterdam,Países Bajos,Inglés,Poesía,
Traducción al holandés de: Judith Quispel-Naber.,215028,De kinderen van het slijk : van de romantiek tot de avant-garde,1990,Meulenhoff,,,,,,Meulenhoff pocket editie,Ámsterdam,Países Bajos,Holandés,Poesía,
Traducción al holandés de: Michael Maria Kuijpers.,215030,Het vuur van iedere dag : gedichten,1990,Meulenhoff,,,,,,,Ámsterdam,Países Bajos,Holandés,Poesía,
Traducción al holandés de: Stefaan van den Bremt. Traducción al holandés de: Guy Posson.,215031,Nachtmuziek over San Ildefonso en andere gedichten,1993,Meulenhoff,,,,,,,Ámsterdam,Países Bajos,Holandés,Poesía,
Traducción al holandés de: Arie van der Wal.,215032,De kunst van Mexico : essays over beeldende kunst,1993,Meulenhoff,,,,,,Meulenhoff editie,Ámsterdam,Países Bajos,Holandés,Ensayo,
Traducción al holandés de: Henriëtte Aronds.,215034,De levensboom : essays over kunst en literatuur,1991,Meulenhoff,,,,,,Meulenhoff editie,Ámsterdam,Países Bajos,Holandés,Ensayo,
Prólogo de: Octavio Paz. Traducción al holandés de: Mieke Westra.,215035,De kat en andere verhalen,1991,Meulenhoff,,,,,,Meulenhoff editie,Ámsterdam,Países Bajos,Holandés,Narrativa,Cuento
Traducción al holandés de: Mieke Westra.,215036,Ilona komt met de regen,1997,Bakker,,,,,,,Ámsterdam,Países Bajos,Holandés,Narrativa,Novela
Traducción al portugués de: Bella Josef.,215067,Dois crimes,1987,Rocco,,,,,,Outra Língua,Río de Janeiro,Brasil,Portugués,Narrativa,Novela
,215076,Angelina,0,CreateSpace Independent Publishing Platform,,,,,,,X,Brasil,Portugués,Narrativa,Novela
Traducción al portugués de: Paulo Pisco.,215092,A boda mexicana,2005,Difel,,,,,,,Lisboa,Portugal,Portugués,Narrativa,Novela
Traducción al portugués de: António J. Pinto.,215102,A Varanda das Gardénias,2009,Difel,,,,,,,Algés,Portugal,Portugués,Narrativa,Novela
,215107,The forked juniper: critical perspectives on Rudolfo Anaya,2016,University of Oklahoma Press,,,,,,,Norman,EUA,Inglés,Crítica y estudios sobre géneros varios,
